"","GSM1545535_10_6_5_11","GSM1545536_9_6_5_11","GSM1545538_purep53","GSM1545539_JMS8.2","GSM1545540_JMS8.3","GSM1545541_JMS8.4","GSM1545542_JMS8.5","GSM1545544_JMS9.P7c","GSM1545545_JMS9.P8c"
"6928",0,1,0,0,0,0,0,0,0
"6929",0,2,13,7,1,1,10,2,0
"6930",0,0,0,0,0,0,0,0,0
"6931",0,0,0,0,0,0,0,0,0
"6932",0,0,0,0,0,0,0,0,0
"6933",0,1,0,0,0,0,0,0,0
"6934",0,1,8,7,1,2,7,0,1
"6935",163,75,121,102,217,345,118,111,258
"6936",8451,6936,12601,10437,17796,16284,13251,4659,5752
"6937",0,0,1,0,1,1,2,0,0
"6938",1454,1706,1890,1792,3782,2548,1791,1038,1072
"6939",10810,11322,23709,25153,34372,28525,24195,7834,7711
"6940",891,936,10313,6844,3088,2665,8687,900,714
"6941",2,1,6,12,6,11,10,4,1
"6942",26,19,31,41,49,115,56,6,17
"6943",2118,1769,5070,3480,4384,5285,6798,1289,1444
"6944",2,0,0,0,1,0,0,0,0
"6945",73,202,609,666,475,195,583,142,64
"6946",32,62,100,61,64,64,46,11,7
"6947",5231,11399,3296,3544,16007,7546,2629,6046,3785
"6948",2588,2083,1909,1346,4094,5984,2879,1621,1693
"6949",415,492,1246,751,874,665,1020,428,385
"6950",0,29,5,2,39,2,4,14,1
"6951",0,0,0,0,0,0,0,0,0
"6952",0,0,0,0,0,0,0,0,0
"6953",881,10245,2305,2125,12739,2571,1141,4557,1344
"6954",5,30,2,2,88,38,5,27,12
"6955",3,33,0,0,47,13,0,9,3
"6956",1073,1493,2043,1631,2686,1801,1696,961,843
"6957",633,656,1029,977,1366,943,712,422,467
"6958",109,135,345,424,254,211,462,62,72
"6959",2524,3706,1543,3162,6800,3609,1205,1484,1369
"6960",71,33,2877,2892,142,151,3056,31,35
"6961",1986,1852,2689,2372,4405,3711,2907,1118,1141
"6962",16225,11031,11993,9365,29394,30315,8026,5497,8507
"6963",1,0,0,0,0,1,0,1,0
"6964",7263,3918,7412,6503,9793,11097,8873,2189,4055
"6965",662,835,772,821,1701,865,494,510,411
"6966",1126,2150,1620,1509,3945,2459,1284,1263,793
"6967",914,810,1013,1062,2299,1992,614,527,655
"6968",70,33,107,168,134,181,166,54,59
"6969",13,8,29,46,48,66,28,10,12
"6970",4,1,2,7,6,13,11,4,3
"6971",0,1,1,0,0,0,0,0,0
"6972",630,636,924,791,1459,950,697,447,387
"6973",1395,2643,3860,3513,5811,3189,3280,1717,1215
"6974",431,718,1158,847,1646,1024,1032,490,356
"6975",3241,2415,12344,7629,6572,7875,12993,2618,3093
"6976",79,49,236,93,106,156,180,63,71
"6977",26,17,91,46,44,64,140,35,38
"6978",5194,5838,11689,9389,14164,12467,12672,3929,3627
"6979",108,128,220,170,271,166,124,62,59
"6980",123,94,882,731,257,135,610,52,47
"6981",36,74,273,214,258,196,559,75,48
"6982",0,0,0,1,0,0,1,0,0
"6983",8902,16971,17332,17660,31846,16468,18697,10792,6260
